MES,SUDESTE
abr/19,180
abr/20,39
abr/21,132
abr/22,55
abr/23,69
abr/24,61
abr/25,202
ago/19,237
ago/20,85
ago/21,583
ago/22,76
ago/23,69
ago/24,118
ago/25,287
dez/19,227
dez/20,267
dez/21,66
dez/22,55
dez/23,74
dez/24,64
dez/25,265
fev/19,443
fev/20,154
fev/21,165
fev/22,55
fev/23,69
fev/24,61
fev/25,93
fev/26,382
jan/19,192
jan/20,327
jan/21,242
jan/22,62
jan/23,69
jan/24,61
jan/25,59
jan/26,247
jul/19,185
jul/20,89
jul/21,583
jul/22,66
jul/23,69
jul/24,87
jul/25,210
jun/19,78
jun/20,114
jun/21,336
jun/22,55
jun/23,69
jun/24,66
jun/25,234
mai/19,135
mai/20,71
mai/21,218
mai/22,55
mai/23,69
mai/24,61
mai/25,212
mar/19,234
mar/20,81
mar/21,109
mar/22,55
mar/23,69
mar/24,61
mar/25,327
nov/19,317
nov/20,502
nov/21,88
nov/22,55
nov/23,84
nov/24,103
nov/25,278
out/19,273
out/20,288
out/21,249
out/22,55
out/23,74
out/24,480
out/25,250
set/19,219
set/20,100
set/21,577
set/22,56
set/23,80
set/24,307
set/25,260
